Designator,Mid X,Mid Y,Layer,Rotation
C1,874.94,913.04,Top,90
C2,1128.97,3900,Top,270
C3,231.19,326.18,Top,270
C4,624.94,919.29,Top,90
C5,78.97,3100,Top,0
C6,49.94,3970.96,Top,90
C8,143.69,2783.46,Top,90
C9,518.69,2789.72,Top,90
C11,97.72,2350,Top,180
C12,224.94,1363.68,Top,270
C13,474.94,2310.28,Top,270
C14,318.69,1164.72,Top,270
C15,74.94,1952.22,Top,270
C16,306.19,633.46,Top,90
C17,95.9,1806.25,Top,180
C18,437.44,1958.46,Top,90
C19,231.19,1164.72,Top,90
C20,231.19,652.22,Top,90
C21,143.69,1160.28,Top,90
C22,149.94,635.28,Top,90
C23,774.94,1752.22,Top,90
C24,433.42,374.96,Top,180
C25,547.72,1956.25,Top,180
C26,1052.15,1462.5,Top,90
C27,1043.69,1945.96,Top,90
D1,806.44,274.6,Top,180
D2,662.96,273.92,Top,180
D20,737.44,2068.65,Top,90
DISP1,587.44,3900,Bottom,0
IC1,595.19,1386.5,Top,0
IC2,293.69,3896,Top,0
IC3,887.44,3896,Top,0
IC4,227.44,2030.75,Top,90
IC5,547.58,1781.25,Top,90
IC6,233.44,912.5,Top,180
IC7,912.38,1965.94,Top,270
IC8,891.62,1776.88,Top,270
IC9,719.13,1612.4,Top,180
IC10,891.11,1470.65,Top,270
IC11,921.3,1286.09,Top,270
J1,249.94,2100,Bottom,270
J2,724.92,674.93,Bottom,90
J3,249.94,1625,Bottom,270
J4,724.92,1149.88,Bottom,90
J5,249.94,1150,Bottom,270
J6,724.92,1624.83,Bottom,90
J7,249.94,675,Bottom,270
J8,724.92,2099.78,Bottom,90
J10,249.94,200,Bottom,270
J11,1062.44,75,Top,180
J12,1062.44,187.5,Top,180
JP2,831.19,2375,Top,270
JP4,687.44,2831.25,Top,180
LED1,1049.94,2100,Bottom,90
LED2,1049.94,1625,Bottom,90
LED3,1049.94,1150,Bottom,90
LED4,1049.94,675,Bottom,90
OK1,639.94,483.73,Top,180
Q1,112.54,3431.69,Top,0
Q2,575.04,3431.69,Top,0
R1,260.22,3431.25,Top,270
R2,112.44,4166.54,Top,90
R3,362.44,4116.54,Top,0
R4,524.94,4070.96,Top,90
R5,612.44,4070.96,Top,90
R6,577.15,3931.25,Top,0
R7,795.9,4125,Top,0
R8,1028.97,4125,Top,180
R9,437.44,3433.46,Top,90
R10,87.44,3633.46,Top,270
R11,212.44,3683.46,Top,0
R12,537.44,3720.96,Top,270
R13,631.19,3720.96,Top,270
R14,762.44,3683.46,Top,180
R15,912.44,3683.46,Top,0
R16,1087.44,3633.46,Top,270
R17,74.94,2454.04,Top,270
R18,149.94,1552.22,Top,90
R19,149.94,1695.96,Top,90
R20,318.69,1708.46,Top,90
R21,324.94,1552.22,Top,90
R22,228.97,1587.5,Top,90
R23,272.72,1806.25,Top,180
R24,399.94,1272.78,Top,270
R25,399.94,495.96,Top,90
R26,399.94,1429.03,Top,90
R27,306.19,495.96,Top,90
R28,68.69,1466.54,Top,90
R29,162.44,495.96,Top,90
R30,68.69,1316.54,Top,90
R31,87.44,495.96,Top,90
R32,1124.88,1947.58,Top,270
R33,1018.69,2216.54,Top,0
R34,1033.19,1789.53,Top,90
R36,1131.19,1791.54,Top,270
R37,728.96,649.93,Top,180
R38,799.92,1183.34,Top,90
R39,869.87,573.87,Top,180
R40,870.41,481.69,Top,0
R41,1049.94,1335.28,Top,270
R42,1099.94,835.28,Top,270
R43,1049.89,983.36,Top,90
R75,869.99,391.43,Top,0
SW1,348.41,3101.57,Bottom,90
SW2,946.99,2617.67,Bottom,90
SW3,948.86,2977.95,Bottom,90
SW4,948.86,3340.45,Bottom,270
J9,756.19,200,Bottom,270
U10,62.44,2597.51,Top,90
UC1,329.76,2579.23,Top,270
J13,1012.44,425,Top,90
J14,1112.44,425,Top,90
